batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
3560,14:01:04,12.242,2.524,13.872,6.544,6.2,8.279,2.971,8.293,1.401,3.871
2274,14:01:04,7.875,1.432,0.693,6.71,7.27,14.99,6.144,12.149,1.83,0.762
2522,14:01:04,8.648,3.387,10.945,14.956,4.374,0.273,10.855,8.79,7.404,14.583
2124,14:01:04,8.705,5.624,7.072,10.335,5.658,8.794,3.339,5.52,7.377,5.279
5574,14:01:04,14.516,11.702,8.157,2.503,3.551,8.651,3.776,1.11,8.363,0.113
3009,14:01:04,3.682,2.544,4.033,7.056,12.867,8.399,1.952,3.11,2.163,4.52
2900,14:01:04,12.172,1.574,4.766,4.381,12.777,1.947,2.755,12.37,7.503,5.993
7953,14:01:04,13.129,5.388,6.856,9.242,9.409,6.907,5.368,1.224,8.787,0.164
4963,14:01:04,2.458,9.723,1.397,5.713,8.699,2.297,1.888,8.114,1.258,3.096
8555,14:01:04,8.745,7.075,6.241,3.606,14.713,0.592,6.961,8.947,4.939,13.518
