batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
1430,14:01:04,3.126,2.998,8.441,3.816,2.783,0.368,1.502,4.619,5.383,0.57
3259,14:01:04,0.06,4.727,9.693,1.211,9.64,9.079,5.274,5.589,6.443,4.972
6327,14:01:04,4.634,1.348,8.962,6.493,9.627,9.405,4.938,4.926,2.627,8.704
4911,14:01:04,3.954,6.494,3.373,4.438,9.197,0.16,7.334,5.178,0.411,3.469
1504,14:01:04,8.653,3.363,4.663,3.606,0.474,4.34,4.461,6.253,1.158,1.057
8356,14:01:04,2.162,3.599,7.775,3.965,2.49,3.274,8.612,1.775,8.163,4.776
3784,14:01:04,8.772,5.138,6.542,5.28,8.347,9.444,6.169,9.486,6.138,7.893
3704,14:01:04,6.806,7.285,2.263,4.413,4.444,7.107,5.238,8.577,8.509,2.353
6320,14:01:04,8.184,0.541,6.39,3.977,0.123,6.898,5.401,2.94,2.922,1.462
7988,14:01:04,7.849,5.014,4.961,4.267,2.812,9.31,0.813,1.562,3.322,4.889
